ip_address,city_network,geoname_id,registered_country_geoname_id,represented_country_geoname_id,is_anonymous_proxy,postal_code,latitude,longitude,accuracy_radius,continent_code,country_iso_code,subdivision_1_iso_code,subdivision_2_iso_code,metro_code,time_zone,is_in_european_union,asn_network,autonomous_system_number,is_tor_node
A:45.11.59.28,B:45.11.59.0/24,C:5809844,D:690791,E:,F:0,G:98160,H:47.6109,I:-122.3303,J:20,K:NA,L:US,M:WA,N:,O:819,P:America/Los_Angeles,Q:0,R:45.11.59.0/24,S:43641,T:1
A:91.92.109.126,B:91.92.109.0/24,C:732800,D:732800,E:,F:0,G:,H:42.6960,I:23.3320,J:200,K:EU,L:BG,M:,N:,O:,P:Europe/Sofia,Q:1,R:91.92.109.0/24,S:34224,T:1
A:5.2.72.110,B:5.2.72.0/23,C:2750405,D:2750405,E:,F:0,G:,H:52.3824,I:4.8995,J:100,K:EU,L:NL,M:,N:,O:,P:Europe/Amsterdam,Q:1,R:5.2.64.0/20,S:60404,T:1
A:172.234.228.174,B:172.234.224.0/19,C:5814043,D:6252001,E:,F:0,G:98178,H:47.4775,I:-122.2589,J:20,K:NA,L:US,M:WA,N:,O:819,P:America/Los_Angeles,Q:0,R:172.234.0.0/16,S:63949,T:1
A:94.142.241.194,B:94.142.240.0/21,C:2759794,D:2750405,E:,F:0,G:1012,H:52.3716,I:4.8883,J:20,K:EU,L:NL,M:NH,N:,O:,P:Europe/Amsterdam,Q:1,R:94.142.240.0/21,S:8283,T:1
A:94.142.244.16,B:94.142.240.0/21,C:2759794,D:2750405,E:,F:0,G:1012,H:52.3716,I:4.8883,J:20,K:EU,L:NL,M:NH,N:,O:,P:Europe/Amsterdam,Q:1,R:94.142.240.0/21,S:8283,T:1
A:185.106.102.102,B:185.106.102.0/24,C:146384,D:146669,E:,F:0,G:4106,H:34.6874,I:33.0366,J:20,K:EU,L:CY,M:02,N:,O:,P:Asia/Nicosia,Q:1,R:185.106.100.0/22,S:197648,T:1
A:93.99.104.194,B:93.99.104.0/22,C:3068799,D:3077311,E:,F:0,G:700 30,H:49.7967,I:18.2343,J:10,K:EU,L:CZ,M:80,N:806,O:,P:Europe/Prague,Q:1,R:93.99.0.0/16,S:16019,T:1
A:212.69.167.80,B:212.69.160.0/20,C:2761369,D:3017382,E:,F:0,G:1010,H:48.2049,I:16.3662,J:20,K:EU,L:AT,M:9,N:,O:,P:Europe/Vienna,Q:1,R:212.69.160.0/19,S:8218,T:1
A:31.133.0.210,B:31.133.0.128/25,C:798544,D:798544,E:,F:0,G:,H:52.2394,I:21.0362,J:200,K:EU,L:PL,M:,N:,O:,P:Europe/Warsaw,Q:1,R:31.133.0.0/21,S:51290,T:1
A:45.94.31.68,B:45.94.31.0/24,C:2759794,D:2750405,E:,F:0,G:1012,H:52.3716,I:4.8883,J:20,K:EU,L:NL,M:NH,N:,O:,P:Europe/Amsterdam,Q:1,R:45.94.31.0/24,S:210558,T:1
A:165.73.242.163,B:165.73.242.160/30,C:953987,D:953987,E:,F:0,G:,H:-29.0000,I:24.0000,J:500,K:AF,L:ZA,M:,N:,O:,P:Africa/Johannesburg,Q:0,R:165.73.240.0/20,S:40676,T:1
